PM2.5,PM10,So2,No2,Co,O3,AQI
150,207,69,106,2.01,28,208
179,252,88,110,2.37,19,221
174,226,63,83,1.72,30,217
110,181,71,86,1.6,21,146
146,211,88,91,2.15,27,191
192,236,77,87,2.07,20,238
267,139,28,63,2.32,12,317
199,74,60,61,2.1,29,249
208,168,78,76,2.48,23,258
128,122,63,66,1.73,21,167
91,73,32,53,1.33,25,120
160,181,63,68,1.68,22,205
265,288,75,87,2.36,21,316
223,260,69,87,2.51,19,274
158,196,65,70,1.86,29,202
122,162,79,95,1.77,27,160
235,272,73,100,1.97,35,285
232,269,96,95,2.25,33,283
220,264,90,102,2.21,28,271
140,199,56,81,1.59,35,184
68,128,61,73,1.42,28,95
96,139,65,73,1.46,33,127
126,178,70,102,1.89,44,163
244,275,105,95,2.45,46,295
287,297,84,86,2.77,46,338
214,213,55,75,2.16,31,261
284,293,49,76,2.29,27,335
286,31,27,47,2.08,33,337
148,108,41,54,2.59,40,193
176,204,55,52,1.98,45,223
219,234,16,41,2.04,40,268
230,256,35,62,2.6,28,280
148,109,29,35,2.55,27,190
40,37,25,26,1,38,58
31,11,19,23,0.83,40,47
29,7,22,24,0.87,29,43
42,40,26,25,0.9,42,63
590,31,24,24,0.89,63,157
111,72,39,26,1.2,66,146
80,28,46,26,1.04,69,107
86,55,42,39,1.07,61,114
74,74,32,38,0.9,62,100
102,10,24,35,0.94,58,135
91,85,35,53,1.14,45,120
99,98,57,53,1.33,38,131
104,92,31,58,1.19,22,137
94,29,22,36,1.25,25,125
26,18,19,28,0.73,54,42
52,67,31,55,0.83,43,74
86,114,70,58,1.52,27,114
81,145,45,87,1.22,42,108
85,148,62,82,1.56,33,115
159,191,44,77,1.63,26,208
131,60,34,63,1.54,17,172
77,50,25,40,1.36,22,103
76,59,28,50,1.34,16,102
76,88,28,53,1.53,16,102
33,9,22,34,1.37,21,48
58,60,11,36,0.87,24,79
109,109,32,43,1.21,24,143
104,114,40,54,1.38,30,138
102,93,42,61,1.37,38,135
81,108,41,59,1.14,67,108
87,89,33,48,1.09,50,115
44,52,47,42,0.94,50,64
75,94,23,47,0.92,53,101
99,131,40,71,1.31,43,131
76,109,56,59,1.17,67,102
75,111,54,66,1.21,26,101
93,160,36,42,1.24,26,139
58,102,32,45,0.85,44,81
79,123,37,64,1.02,53,107
71,127,38,72,1.08,61,97
89,154,39,78,1.21,42,118
91,164,48,75,1.43,42,124
108,191,64,81,1.49,24,144
107,197,27,34,1.18,49,145
72,100,31,39,0.91,63,99
74,114,44,63,1.19,57,101
86,144,48,83,1.4,54,120
114,186,47,96,1.58,22,152
69,89,12,58,1.32,27,94
85,119,53,70,1.89,42,113
69,122,57,65,1.39,67,96
50,84,40,56,1.13,51,73
70,147,30,50,1.11,83,112
89,171,43,57,1.24,81,124
62,99,28,48,0.98,81,87
68,121,38,75,1.27,62,93
88,155,45,84,1.45,73,119
88,154,30,59,1.14,96,121
125,185,40,55,1.35,102,166
138,200,28,79,1.3,72,182
71,110,38,48,1.16,59,96
86,67,33,49,1.16,56,115
98,135,37,81,1.54,50,130
95,150,34,81,1.47,69,131
61,121,49,63,1.1,75,90
53,84,18,43,1.12,55,79
51,44,6,27,1.19,56,73
53,62,20,24,1.05,66,75
46,70,23,35,0.77,77,65
55,71,31,46,1.14,52,77
35,39,25,35,1.04,44,55
39,53,20,44,1.03,56,58
44,65,32,44,1.01,36,65
18,23,16,22,0.7,77,46
59,82,24,45,1.01,67,83
26,31,18,35,0.85,55,44
50,68,22,37,0.85,76,71
49,66,36,54,1.1,50,71
56,81,33,61,1.27,22,78
61,75,23,51,1.19,26,85
35,61,19,28,0.82,66,60
47,118,22,37,0.77,86,88
48,111,23,62,0.86,78,85
53,109,34,75,1,65,82
63,129,32,57,0.81,70,101
67,163,24,70,1.06,71,108
65,209,25,51,0.8,57,131
54,184,34,50,0.8,63,118
54,105,21,39,0.74,58,82
52,137,36,58,0.99,71,95
54,131,40,70,0.97,83,94
69,152,28,74,0.92,76,102
80,155,35,60,1.14,81,112
46,71,31,36,0.91,66,67
30,32,20,35,1,39,46
24,48,19,33,0.96,78,55
51,103,33,72,1.08,81,84
67,110,41,67,1.29,54,92
56,64,17,33,0.99,74,79
37,103,27,48,0.77,83,80
90,183,43,98,1.44,61,126
73,103,24,46,0.89,64,100
99,137,28,72,1.26,48,131
115,159,28,80,1.36,42,153
161,215,24,63,1.19,72,207
179,223,31,91,1.74,35,222
73,93,26,41,1.07,78,99
42,71,30,41,0.93,68,65
39,62,22,42,1,32,62
67,132,20,39,1.04,61,104
136,406,23,38,0.71,80,282
103,198,22,35,0.79,79,141
86,192,26,70,0.92,70,125
103,245,30,71,1.21,86,149
81,156,32,54,1.1,55,109
52,81,26,38,1.11,40,74
29,47,18,28,0.92,59,50
47,77,21,26,0.76,116,83
47,76,22,23,0.69,116,75
64,111,33,46,1,118,100
80,150,33,61,1.11,124,122
106,191,38,63,1.24,145,143
106,165,22,41,1.1,148,142
130,221,37,78,1.61,101,173
150,230,28,70,1.5,111,200
113,184,26,50,1.12,115,150
111,182,28,57,1.17,118,148
224,296,24,52,1.54,137,259
154,226,30,61,1.42,127,203
102,154,25,43,1.12,121,137
90,122,18,30,1.04,106,120
64,84,16,34,0.98,70,89
71,90,19,40,0.87,79,96
79,122,32,44,1.2,117,114
71,112,34,37,1.21,107,103
100,144,21,30,1.18,100,135
81,104,17,23,1.02,118,110
75,112,23,35,1.11,132,107
63,101,21,47,1.03,87,88
46,75,18,35,0.72,87,77
35,58,29,39,0.86,48,60
23,31,18,35,0.86,37,39
31,50,13,36,0.9,53,53
49,84,20,44,1.22,60,74
59,99,19,60,1.03,60,84
74,100,18,48,1.18,59,100
63,87,20,44,1.11,42,87
46,62,16,38,0.87,62,69
40,73,26,42,1.17,73,69
26,40,14,36,0.73,46,43
18,26,12,23,0.8,63,38
27,49,13,31,0.76,81,52
49,88,19,45,1.14,77,74
55,105,21,57,1.08,94,92
73,122,19,51,1.11,101,105
79,133,20,50,1.04,116,121
81,136,20,40,1.2,108,113
24,43,16,32,0.71,60,47
21,34,17,30,0.59,74,48
24,47,19,31,0.63,74,54
27,53,5,30,0.5,47,51
16,30,15,26,0.63,36,37
22,40,19,38,0.99,24,46
35,74,21,42,1.14,37,65
37,79,18,42,0.96,66,68
31,68,22,36,0.8,56,65
35,83,20,42,0.73,67,73
51,116,17,48,0.87,79,88
61,124,16,42,0.99,78,91
53,90,18,21,0.94,137,88
59,111,21,35,0.87,114,91
53,102,17,39,0.84,110,93
68,134,22,54,1.1,139,124
72,140,20,59,1.01,103,108
43,87,20,34,0.74,86,74
33,73,18,31,0.64,81,66
31,74,20,39,0.8,77,69
35,62,14,23,0.7,97,62
21,47,15,26,0.66,53,51
31,75,17,40,0.72,72,66
53,110,22,45,0.93,105,95
50,90,25,38,0.95,83,81
38,78,22,38,1.03,80,78
